latitude_corrected,longitude_corrected
10.004526,76.3759859
10.004433833333332,76.3755344
10.004409366666666,76.37512886666666
10.0044585,76.37481666666666
10.004557233333333,76.3745862
10.004709133333334,76.3744378
10.004905933333333,76.37431986666667
10.005051,76.37425433333333
10.005149766666667,76.37421316666666
10.005241366666668,76.37417699999999
10.0054503,76.37380786666667
10.005592966666667,76.37373736666667
10.005742733333333,76.37369249999999
10.005850366666666,76.37400213333332
10.006055833333333,76.37407616666667
10.006197633333333,76.37407836666667
10.006312333333334,76.37419150000001
10.006428733333333,76.37430603333333
10.006598966666667,76.3745554
10.0067918,76.37470636666666
10.006757433333334,76.37458856666666
10.00668,76.3744041
10.006587000000001,76.37416293333332
10.006796333333332,76.37415243333332
10.007160866666666,76.37430953333333
10.007361466666667,76.37431289999999
10.007400533333334,76.37423596666666
10.007222233333334,76.37390090000001
10.007120466666667,76.3733133
10.007046699999998,76.37315353333334
10.0070417,76.37302820000001
10.007104733333334,76.3732425
10.007135633333332,76.37301946666666
10.0070292,76.37285836666668
10.006860600000001,76.37287389999999
10.006741033333334,76.37310766666667
10.006768766666665,76.3734433
10.006835,76.37371713333333
10.006894,76.373876
